class_dir,label,cohesion,vecino_mas_cercano,sim_vecino,margen,zs_acc,tercil
steak,Steak,0.8752264,Filet mignon,0.9833450317382812,-0.10811865329742432,0.4666666666666667,dificil
filet_mignon,Filet mignon,0.88021153,Steak,0.9833450317382812,-0.10313349962234497,0.6666666666666666,dificil
baklava,Baklava,0.86182094,Apple pie,0.9583245515823364,-0.0965036153793335,0.8,dificil
pork_chop,Pork chop,0.87481505,Steak,0.9711605906486511,-0.09634554386138916,0.5666666666666667,dificil
apple_pie,Apple pie,0.8637249,Baklava,0.9583245515823364,-0.0945996642112732,0.6666666666666666,dificil
cheesecake,Cheesecake,0.8725507,Strawberry shortcake,0.9647685289382935,-0.09221780300140381,0.7,dificil
chocolate_mousse,Chocolate mousse,0.87298983,Tiramisu,0.9644233584403992,-0.09143352508544922,0.6333333333333333,dificil
breakfast_burrito,Breakfast burrito,0.8707655,Chicken quesadilla,0.9596786499023438,-0.08891314268112183,0.7333333333333333,dificil
prime_rib,Prime rib,0.8791786,Steak,0.9665809869766235,-0.08740240335464478,0.9333333333333333,dificil
beef_tartare,Beef tartare,0.88347924,Tuna tartare,0.9695383906364441,-0.08605915307998657,0.7333333333333333,dificil
bread_pudding,Bread pudding,0.86866295,Apple pie,0.9523144960403442,-0.08365154266357422,0.8333333333333334,dificil
ice_cream,Ice cream,0.86623627,Frozen yogurt,0.9490060806274414,-0.08276981115341187,0.7666666666666667,dificil
panna_cotta,Panna cotta,0.87694013,Chocolate mousse,0.9592244625091553,-0.08228433132171631,0.7333333333333333,dificil
samosa,Samosa,0.87225825,Spring rolls,0.9537272453308105,-0.08146899938583374,0.7666666666666667,dificil
strawberry_shortcake,Strawberry shortcake,0.88608825,Cheesecake,0.9647685289382935,-0.07868027687072754,0.8,dificil
foie_gras,Foie gras,0.874939,Pork chop,0.9519273042678833,-0.07698827981948853,0.5,dificil
ravioli,Ravioli,0.8818956,Gnocchi,0.9562275409698486,-0.07433193922042847,0.7333333333333333,dificil
creme_brulee,Creme brulee,0.8817496,Panna cotta,0.9543730020523071,-0.07262343168258667,0.9,dificil
frozen_yogurt,Frozen yogurt,0.87651944,Ice cream,0.9490060806274414,-0.07248663902282715,0.9333333333333333,dificil
tiramisu,Tiramisu,0.89210767,Chocolate mousse,0.9644233584403992,-0.07231569290161133,0.9333333333333333,dificil
tuna_tartare,Tuna tartare,0.8976971,Beef tartare,0.9695383906364441,-0.071841299533844,0.8333333333333334,dificil
chicken_quesadilla,Chicken quesadilla,0.8880357,Breakfast burrito,0.9596786499023438,-0.0716429352760315,0.8333333333333334,dificil
lasagna,Lasagna,0.87110084,Ravioli,0.942513108253479,-0.07141226530075073,0.5666666666666667,dificil
risotto,Risotto,0.87186426,Gnocchi,0.9429861903190613,-0.0711219310760498,0.7333333333333333,dificil
bruschetta,Bruschetta,0.87736195,Caprese salad,0.947938084602356,-0.07057613134384155,0.8666666666666667,dificil
ceviche,Ceviche,0.87226695,Tuna tartare,0.9417132139205933,-0.06944626569747925,0.6333333333333333,dificil
